InspectionDate,HouseNumber,StreetName,Apartment,Borough,ViolationID,CurrentStatus,NOVDescription,BuildingID,Class,RegistrationID,BoroID,LowHouseNumber,HighHouseNumber,StreetCode,Postcode,Story,Block,Lot,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVIssuedDate,CurrentStatusID,CurrentStatusDate,NovType,ViolationStatus,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
12/10/2020,2395,MORRIS AVENUE,5,BRONX,14202042,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... MOLD AT CEILING ( APPRX 15 SQ FT ) IN THE BATHROOM LOCATED AT APT 5, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13934540 ISSUED 10-DEC-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",97567,C,203885,2,2395,2395,52120,10468,1,3184,71,04/10/2021,05/13/2021,05/08/2021,,,,550,7228391,04/12/2021,47,04/12/2021,Original,Open,40.860521,-73.900522,5,14,239,2014040,2031840071,Fordham South
10/09/2017,568,LINCOLN AVENUE,2F,BROOKLYN,12012468,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... THE WOOD CABINT BASE IN THE KITCHEN LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",326015,C,354711,3,568,568,55930,11208,2,4237,26,10/12/2017,10/26/2017,10/21/2017,,,,550,5871032,10/13/2017,22,11/16/2020,Original,Open,40.675365,-73.867137,5,42,1200,3095200,3042370026,East New York
07/16/2019,160,WEST 85 STREET,4K,MANHATTAN,13319861,NOT COMPLIED WITH,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 6 SQ FT CEILING , 3 SQ FT AT WEST WALL AND 2 SQ FT AT SOUTH WALL. IN THE BATHROOM LOCATED AT APT 4K, 4th STORY, 2nd APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13176884 ISSUED 16-JUL-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",36208,C,106012,1,158,168,35470,10024,4,1215,56,10/06/2019,11/02/2019,10/28/2019,,,,550,6627544,10/07/2019,21,12/15/2020,Original,Open,40.786492,-73.974321,7,6,169,1032133,1012150056,Upper West Side
01/14/2019,2835,OCEAN AVENUE,,BROOKLYN,12854228,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT VESTIBULE NORTH WALL AT PUBLIC HALL, 1st STORY",347602,C,306234,3,2825,2883,67530,11235,1,7422,146,01/17/2019,01/31/2019,01/26/2019,,,,550,6366567,01/18/2019,20,11/16/2020,Original,Open,40.592039,-73.950005,15,48,59401,3203205,3074220146,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
10/23/2020,65,BOWDOIN STREET,LOWERG,STATEN ISLAND,14067250,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APROX. 10 SQ.FT IN THE BATHROOM LOCATED AT APT LOWERG, 1st STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13866469 ISSUED 23-OCT-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",716811,C,0,5,65,65,19366,10314,1,2396,76,03/10/2021,04/10/2021,04/05/2021,,,,550,7114562,03/10/2021,47,03/10/2021,Original,Open,40.587303,-74.157289,2,51,27705,5039379,5023960076,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
11/06/2020,20,RUMPLER COURT,20,STATEN ISLAND,14067253,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING (APPROX 10 SQ FT) IN THE 3rd ROOM FROM NORTH LOCATED AT APT 20 UPPER LEVEL, 2nd STORY ORIGINAL VIOLATION 13883258 ISSUED 06-NOV-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",896022,C,10202,5,20,20,45915,10302,2,1065,47,03/10/2021,04/10/2021,04/05/2021,,,,550,7114636,03/10/2021,19,06/10/2021,Original,Close,40.625618,-74.142800,1,49,247,5146527,5010650047,Port Richmond
12/01/2020,517,WILSON AVENUE,3R,BROOKLYN,14067270,INVALID CERTIFICATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND ALL WALLS APPROX. 25 SQ.FT. IN THE BATHROOM LOCATED AT APT 3R, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13920899 ISSUED 01-DEC-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",396961,C,313487,3,517,517,93530,11221,3,3398,4,03/10/2021,04/10/2021,04/05/2021,,,,550,7114447,03/10/2021,28,03/16/2021,Original,Open,40.692167,-73.910700,4,37,437,3078334,3033980004,Bushwick North
12/06/2020,232,SCHENECTADY AVENUE,1R,BROOKLYN,14067271,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT 1ST WINDOW FRAME AT EAST, AND 1ST RISER AT EAST, TOTAL 15 FT IN THE BATHROOM LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13927131 ISSUED 06-DEC-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",367889,C,305319,3,232,232,75430,11213,1,1377,31,03/10/2021,04/10/2021,04/05/2021,,,,550,7114406,03/10/2021,47,03/10/2021,Original,Open,40.671306,-73.933677,8,35,353,3036759,3013770031,Crown Heights North
12/17/2020,564,EVERGREEN AVENUE,3A,BROOKLYN,14067273,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 20 SQ. FT. AT WOOD STOOLS, NORTH AND SOUTH JAMBS AT WINDOW AT EAST WALL IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 3A, 3rd STORY, APARTMENT AT EAST ORIGINAL VIOLATION 13949384 ISSUED 17-DEC-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",290830,C,329970,3,564,564,40030,11221,3,3374,31,03/10/2021,04/10/2021,04/05/2021,,,05/26/2021,550,7114265,03/10/2021,19,11/10/2021,Original,Close,40.690587,-73.916032,4,34,399,3077180,3033740031,Bushwick South
03/09/2021,2285,SEDGWICK AVENUE,508,BRONX,14067343,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APROX. 15 SQ. FT. AT WEST WALL APROX. 12 SQ. FT. AT NORTH WALL APROX. 15 SQ. FT. AT CEILING IN THE BATHROOM LOCATED AT APT 508, 5th STORY, 1st APARTMENT FROM WEST AT NORTH",108464,C,203780,2,2285,2285,63820,10468,5,3234,49,03/10/2021,04/11/2021,04/06/2021,,,,550,7115226,03/11/2021,19,06/09/2021,Original,Close,40.861533,-73.909739,7,14,257,2015102,2032340049,University Heights-Morris Heights
02/21/2020,235,TOMPKINS AVENUE,3A,BROOKLYN,13898550,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ( APPROX- 10 SQ.FT ) AT CEILING, ( APPROX- 6 SQ,FT ) AT EAST WALL AND ( APPROX- 3 SQ,FT ) AT NORTH WALL IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13616152 ISSUED 21-FEB-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",381568,C,311371,3,235,235,85730,11216,3,1786,1,11/14/2020,12/17/2020,12/12/2020,,,,550,7007322,11/16/2020,47,11/16/2020,Original,Open,40.690997,-73.945424,3,36,261,3049808,3017860001,Bedford
01/31/2019,3854,10 AVENUE,36,MANHATTAN,12888002,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WEST WALL, NORTH WALL (APPX 32 SQ.FT) IN THE 5th ROOM FROM EAST LOCATED AT APT 36, 3rd STORY, 2nd APARTMENT FROM WEST AT NORTH",5036,C,109167,1,3852,3854,11010,10034,3,2219,29,02/04/2019,03/03/2019,02/26/2019,,,,550,6383976,02/05/2019,20,11/24/2021,Original,Open,40.863955,-73.919313,12,10,293,1080026,1022190029,Marble Hill-Inwood
11/14/2020,1031,REV JAMES POLITE AVENUE,2ND,BRONX,13899077,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 36 SQ. FT AT CEILING OF BATHROOM AT APARTMENT # 2ND, 2ND STORY IN THE BATHROOM LOCATED AT APT 2ND, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",111365,C,0,2,1031,1031,66620,10459,2,2691,130,11/15/2020,12/17/2020,12/12/2020,,,,550,7006580,11/16/2020,19,12/23/2020,Original,Close,40.824204,-73.898878,2,17,131,2005274,2026910130,Longwood
09/15/2020,164,WEST 75 STREET,1503,MANHATTAN,13899188,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXI. 20 SQ.. FT. AT SOUTH WALL IN THE 1st ROOM FROM EAST LOCATED AT APT 1503, 15th STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13779399 ISSUED 15-SEP-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",35328,C,109291,1,164,168,35270,10023,15,1146,61,11/15/2020,12/17/2020,12/12/2020,,,,550,7006064,11/16/2020,22,05/15/2021,Original,Open,40.780378,-73.979794,7,6,161,1030095,1011460061,Upper West Side
11/14/2020,866,EAST 221 STREET,BSMT,BRONX,13899237,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 30 SQ. FT. OF MOLD ON CEILING. IN THE BATHROOM LOCATED AT BSMT-APT BSMT, 1st BSMT-APT FROM EAST AT SOUTH",806633,C,216796,2,866,866,28260,10467,Basement,4679,73,11/15/2020,12/17/2020,12/12/2020,,,,550,7007623,11/16/2020,19,09/13/2021,Original,Close,40.883437,-73.857192,12,12,396,2094188,2046790073,Williamsbridge-Olinville
11/15/2020,1234,FULTON AVENUE,7,BRONX,13899437,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 30 SQ FT AT CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 7, 4th STORY, 2nd APARTMENT FROM EAST AT SOUTH",79728,C,203924,2,1234,1234,34220,10456,4,2612,4,11/15/2020,12/17/2020,12/12/2020,,,,550,7006404,11/16/2020,47,11/16/2020,Original,Open,40.831051,-73.904205,3,16,149,2004243,2026120004,Morrisania-Melrose
04/10/2021,462,GRANT AVENUE,1L,BROOKLYN,14202382,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 60 SQUARE FEET AT CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",303240,C,356538,3,462,462,45430,11208,1,4182,50,04/11/2021,05/13/2021,05/08/2021,,,,550,7228944,04/12/2021,47,04/12/2021,Original,Open,40.679504,-73.866429,5,37,1188,3094036,3041820050,Cypress Hills-City Line
05/22/2019,2101,ALBEMARLE ROAD,6G,BROOKLYN,13085121,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING, SOUTH WALL IN THE 1st BATHROOM LOCATED AT APT 6G, 6th STORY, 1st APARTMENT FROM EAST AT SOUTH",183921,C,301809,3,2101,2101,12330,11226,6,5102,63,05/22/2019,06/18/2019,06/13/2019,,,,550,6489962,05/23/2019,22,11/17/2020,Original,Open,40.647389,-73.959243,14,40,51002,3117183,3051020063,Flatbush
09/27/2019,440,WYONA STREET,3,BROOKLYN,13307838,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING (APPROX. 4 SQ. FT.), SOUTH WALL (APPROX. 15 SQ. FT.), EAST WALL (APPROX. 12 SQ. FT.) AND WEST WALL (APPROX. 12 SQ. FT.) IN THE BATHROOM LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",398749,C,368973,3,440,440,94930,11207,3,3791,32,10/01/2019,10/28/2019,10/23/2019,,,,550,6622818,10/02/2019,19,11/16/2020,Original,Close,40.667763,-73.891888,5,42,1158,3084541,3037910032,East New York (Pennsylvania Ave)
04/20/2019,3856,10 AVENUE,26,MANHATTAN,13306903,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX 15 SQ FEET IN THE BATHROOM LOCATED AT APT 26, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13027233 ISSUED 20-APR-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",803970,C,109166,1,3856,3858,11010,10034,2,2219,29,09/29/2019,10/26/2019,10/21/2019,,,,550,6620377,09/30/2019,22,09/16/2021,Original,Open,40.864016,-73.919269,12,10,293,1080036,1022190029,Marble Hill-Inwood
12/21/2019,1050,LAFAYETTE AVENUE,6,BROOKLYN,13626045,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING (APPROX. 10 SQ FT), SOUTH WALL (APPROX. 12 SQ FT) AND EAST WALL (APPROX. 6 SQ FT) IN THE BATHROOM LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13513319 ISSUED 21-DEC-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",321951,C,342097,3,1050,1052,54130,11221,2,1612,19,03/01/2020,03/28/2020,03/23/2020,,,,550,6843341,03/02/2020,19,11/16/2020,Original,Close,40.692345,-73.929826,3,36,387,3043647,3016120019,Stuyvesant Heights
08/27/2020,8602,AVENUE L,302,BROOKLYN,13789150,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 15 SQ.FT AT NORTH WALL, 15 SQ.FT AT WEST WALL,1SQ.FT AT SOUTH WALL AND 5 SQ.FT AT CEILING IN SECONDARY BATROOM IN THE 3rd ROOM FROM NORTH LOCATED AT APT 302, 1st STORY, SECTION ''86-16''",190930,C,376182,3,8602,8602,14180,11236,1,8065,7501,08/28/2020,10/01/2020,09/26/2020,,,,550,6942602,08/31/2020,47,08/31/2020,Original,Open,40.633488,-73.903303,18,46,1006,3341494,3080657501,Canarsie
11/16/2020,1220,LEXINGTON AVENUE,3B,MANHATTAN,13835262,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING, NORTH WALL, WEST WALL AND EAST WALL IN THE 2nd BATHROOM FROM NORTH AT EAST LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",23822,C,139004,1,1220,1224,24890,10028,3,1511,155,11/16/2020,12/18/2020,12/13/2020,,,,550,7008043,11/17/2020,47,11/17/2020,Original,Open,40.777286,-73.957207,8,4,140,1047641,1015110155,Upper East Side-Carnegie Hill
11/13/2019,792,PARK PLACE,2L,BROOKLYN,13582785,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND ALL WALLS, APPROXIMATELY 25 SQ. FEET IN THE BATHROOM LOCATED AT APT 2L, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13452289 ISSUED 13-NOV-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",352058,C,329607,3,792,792,69330,11216,2,1240,23,02/01/2020,02/29/2020,02/24/2020,,,,550,6812432,02/03/2020,20,06/25/2021,Original,Open,40.673486,-73.951505,8,36,31701,3031497,3012400023,Crown Heights North
11/16/2020,34-06,42 STREET,3L,QUEENS,13901111,VIOLATION DISMISSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 40 SQUARE FEET CEILING,APPROX,APPROX 10 SQUARE NORTH WALL,APPROX 4 SQUARE FEET WEST WALL,APPROX 10 SQUARE FEET SOUTH WALL,APPROX 4 SQUARE FEET EAST WALL. IN THE BATHROOM LOCATED AT APT 3L, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",430562,C,403913,4,34-06,34-06,9790,11101,3,674,118,11/16/2020,12/18/2020,12/13/2020,,,12/16/2020,550,7008655,11/17/2020,9,02/26/2021,Original,Close,40.755635,-73.919520,1,26,159,4010953,4006740118,Astoria
09/06/2020,561,WEST 186 STREET,11,MANHATTAN,14203306,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 15 SQ. FT AT CEILING IN THE BATHROOM LOCATED AT APT 11, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13778181 ISSUED 06-SEP-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",43540,C,107338,1,561,563,37470,10033,3,2157,96,04/12/2021,05/13/2021,05/08/2021,,,,550,7228060,04/12/2021,20,05/28/2021,Original,Open,40.852048,-73.930681,12,10,269,1063803,1021570096,Washington Heights North
01/28/2021,5,WESTMINSTER ROAD,2D,BROOKLYN,14203310,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 10 SQFT AT WEST WALL, 5 SQFT AT NORTH WALL IN THE 4th ROOM FROM EAST LOCATED AT APT 2D, 4th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION AT NORTH ORIGINAL VIOLATION 14009016 ISSUED 28-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",243063,C,310168,3,1,5,35330,11218,4,5073,1,04/12/2021,05/13/2021,05/08/2021,,,,550,7228793,04/12/2021,47,04/12/2021,Original,Open,40.648893,-73.968713,14,40,506,3116388,3050730001,Flatbush
06/01/2020,719,MILLER AVENUE,2R,BROOKLYN,13898551,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT THE CEILING AND AND ALL WALLS IN THE CLOSET AT THE SOUTH WALL IN THE 4th ROOM FROM NORTH LOCATED AT APT 2R, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13679565 ISSUED 01-JUN-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",338089,C,329826,3,719,719,61030,11207,2,4304,71,11/14/2020,12/17/2020,12/12/2020,,,,550,7007134,11/16/2020,22,11/03/2021,Original,Open,40.662767,-73.888352,5,42,1122,3096792,3043040071,East New York (Pennsylvania Ave)
02/28/2019,2100,ANTHONY AVENUE,3ES,BRONX,13474759,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND WALLS APPROX 10 SQ FT IN APARTMENT 3ES, 3RD STORY, EAST 1 IN THE BATHROOM LOCATED AT APT 3ES, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 12936023 ISSUED 28-FEB-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",45699,C,206724,2,2100,2100,8920,10457,3,3156,136,11/28/2019,12/25/2019,12/20/2019,,,,550,6746853,11/29/2019,20,07/08/2021,Original,Open,40.853561,-73.901544,5,15,381,2013692,2031560136,Mount Hope
01/22/2021,346,JEFFERSON AVENUE,4B,BROOKLYN,14000718,VIOLATION WILL BE REINSPECTED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND WALLS APPROX 50 SQ.FT IN THE 2nd BATHROOM LOCATED AT APT 4B, 4th STORY, APARTMENT AT SOUTH",317155,C,327049,3,346,348,53030,11221,4,1835,7,01/25/2021,02/26/2021,02/21/2021,,,,550,7073765,01/26/2021,11,05/11/2021,Original,Open,40.684014,-73.943612,3,36,267,3052414,3018350007,Bedford
08/23/2020,901,73 STREET,B104,BROOKLYN,13783417,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... TOTALLING APPROXIMATELY 50 SQ FT AT THE CEILING AND WALLS IN THE BATHROOM LOCATED AT APT B104, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''B''",170365,C,364749,3,901,921,10230,11228,1,5913,1,08/23/2020,09/24/2020,09/19/2020,,,,550,6937935,08/24/2020,19,11/17/2020,Original,Close,40.626581,-74.014669,10,43,206,3147614,3059130001,Dyker Heights
06/15/2020,136,EAST 52 STREET,2F,BROOKLYN,13786640,NOT COMPLIED WITH,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... (APPROX. 10 SQ FT) AT WEST WALL, NORTH WALL, CEILING IN THE BATHROOM LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13697983 ISSUED 15-JUN-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",268101,C,300712,3,136,136,37080,11203,2,4621,16,08/26/2020,09/26/2020,09/21/2020,,,,550,6939876,08/26/2020,21,11/13/2020,Original,Open,40.657799,-73.929088,17,41,878,3100211,3046210016,Prospect Lefferts Gardens-Wingate
01/13/2020,651,BARBEY STREET,1F,BROOKLYN,13709287,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... CEILING, NORTH AND EAST WALL IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13547339 ISSUED 13-JAN-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",198944,C,309653,3,651,651,15480,11207,1,4077,8,06/29/2020,07/30/2020,07/25/2020,,,,550,6896940,06/29/2020,47,06/29/2020,Original,Open,40.666555,-73.885927,5,42,1124,3090424,3040770008,East New York
06/29/2020,348,SUMPTER STREET,2D,BROOKLYN,13709674,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 30 SQ FEET AT CEILING IN THE BATHROOM LOCATED AT APT 2D, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",379523,C,315296,3,348,348,83430,11233,2,1528,23,06/30/2020,08/01/2020,07/27/2020,,,,550,6898273,07/01/2020,20,06/22/2021,Original,Open,40.681108,-73.910178,16,37,369,3041563,3015280023,Ocean Hill
11/12/2020,495,WASHINGTON AVENUE,4E,BROOKLYN,13897210,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT THE CEILING AND WALLS, APPX. 30 SQ FT IN THE BATHROOM LOCATED AT APT 4E, 4th STORY, 3rd APARTMENT FROM WEST AT NORTH",388758,C,300509,3,495,495,89730,11238,4,1979,3,11/17/2020,12/19/2020,12/14/2020,,,,550,7009889,11/18/2020,47,11/18/2020,Original,Open,40.683569,-73.964875,2,35,201,3056648,3019790003,Clinton Hill
11/30/2020,1340,MERRIAM AVENUE,B43,BRONX,13918916,NOV CERTIFIED LATE,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX. 160 SQ FT . THE EAST WALL APPROX, 40 SQ FT. THE SOUTH WALL APPROX. 8 SQ FT. AND WEST WALL APPROX. 16 SQ FT . IN THE PRIVATE HALLWAY LOCATED AT APT B43, 5th STORY, 1st APARTMENT FROM WEST AT NORTH",95699,C,209610,2,1340,1340,50520,10452,5,2531,13,12/01/2020,01/02/2021,12/28/2020,,,04/30/2021,550,7021353,12/02/2020,4,04/30/2021,Original,Open,40.841223,-73.925813,4,16,201,2003531,2025310013,Highbridge
08/31/2020,1126,CARROLL PLACE,2B,BRONX,13901413,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 15 SQ. FT. AT THE CEILING, NORTH WALL, WEST WALL IN THE BATHROOM LOCATED AT APT 2B, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 13793831 ISSUED 31-AUG-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",55440,C,220974,2,1124,1126,18220,10456,2,2456,70,11/17/2020,12/18/2020,12/13/2020,,,,550,7008160,11/17/2020,47,11/17/2020,Original,Open,40.832185,-73.918600,4,16,18102,2002741,2024560070,East Concourse-Concourse Village
